,neg,neu,pos
0,0.0,0.917,0.083
1,0.0,0.909,0.091
2,0.137,0.863,0.0
3,0.0,1.0,0.0
4,0.0,0.912,0.088
5,0.049,0.715,0.236
6,0.052,0.824,0.124
7,0.0,1.0,0.0
8,0.097,0.903,0.0
9,0.095,0.729,0.176
10,0.07,0.813,0.117
11,0.032,0.904,0.064
12,0.0,0.955,0.045
13,0.0,0.894,0.106
14,0.0,1.0,0.0
15,0.096,0.862,0.042
16,0.046,0.954,0.0
17,0.027,0.869,0.104
18,0.0,1.0,0.0
19,0.098,0.902,0.0
20,0.0,0.922,0.078
21,0.018,0.905,0.077
22,0.101,0.899,0.0
23,0.0,1.0,0.0
24,0.032,0.852,0.116
25,0.0,0.833,0.167
26,0.069,0.931,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.135,0.865,0.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,0.066,0.934,0.0
33,0.288,0.596,0.117
34,0.083,0.917,0.0
35,0.127,0.817,0.056
36,0.117,0.84,0.043
37,0.0,0.971,0.029
38,0.0,0.944,0.056
39,0.0,0.892,0.108
