,neg,neu,pos
0,0.0,0.837,0.163
1,0.0,0.806,0.194
2,0.166,0.834,0.0
3,0.0,1.0,0.0
4,0.0,0.877,0.123
5,0.07,0.386,0.543
6,0.089,0.676,0.235
7,0.0,1.0,0.0
8,0.16,0.84,0.0
9,0.035,0.499,0.466
10,0.309,0.691,0.0
11,0.0,0.836,0.164
12,0.0,0.952,0.048
13,0.0,0.753,0.247
14,0.0,1.0,0.0
15,0.14,0.793,0.067
16,0.048,0.952,0.0
17,0.075,0.709,0.216
18,0.0,1.0,0.0
19,0.089,0.911,0.0
20,0.0,0.859,0.141
21,0.04,0.812,0.149
22,0.102,0.898,0.0
23,0.0,1.0,0.0
24,0.0,0.682,0.318
25,0.0,0.743,0.257
26,0.085,0.915,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.237,0.763,0.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,0.123,0.877,0.0
33,0.48,0.302,0.218
34,0.272,0.728,0.0
35,0.294,0.607,0.098
36,0.127,0.693,0.18
37,0.0,0.932,0.068
38,0.0,0.873,0.127
39,0.0,0.798,0.202
