,neg,neu,pos
0,0.0,0.956,0.044
1,0.0,0.947,0.053
2,0.098,0.902,0.0
3,0.0,1.0,0.0
4,0.0,0.938,0.062
5,0.045,0.806,0.149
6,0.047,0.883,0.07
7,0.0,1.0,0.0
8,0.072,0.928,0.0
9,0.023,0.814,0.163
10,0.126,0.874,0.0
11,0.0,0.934,0.066
12,0.0,0.969,0.031
13,0.0,0.933,0.067
14,0.0,1.0,0.0
15,0.064,0.913,0.023
16,0.032,0.968,0.0
17,0.017,0.916,0.067
18,0.0,1.0,0.0
19,0.058,0.942,0.0
20,0.0,0.954,0.046
21,0.015,0.932,0.054
22,0.07,0.93,0.0
23,0.0,1.0,0.0
24,0.0,0.906,0.094
25,0.0,0.908,0.092
26,0.048,0.952,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.103,0.897,0.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,0.046,0.954,0.0
33,0.206,0.714,0.08
34,0.044,0.956,0.0
35,0.078,0.879,0.043
36,0.046,0.888,0.066
37,0.0,0.985,0.015
38,0.0,0.965,0.035
39,0.0,0.932,0.068
